sourceLanguage 	 targetLanguage 	 sourceText 	 targetText 	 conversationId 	 direction 	 tone 	 customerId
nl 	 en 	 Mijn voornaam is NAME-M 	 My first name is NAME-M 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Hello NAME-M very nice to meet you 	 Hallo NAME-M, erg leuk je te ontmoeten 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I will surely check on the PRS-ORG points 	 Ik zal de kwestie van de PRS-ORG- 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 transfer issue for you. 	 puntenoverdracht voor je nakijken. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 May I know the email for the PRS-ORG Account please? 	 Mag ik alsjeblieft het e-mailadres van het PRS-ORG-account weten? 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 EMAIL 	 EMAIL 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thank you for sharing the email with me. 	 Bedankt voor het delen van het e-mailadres. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I have sent a verification email, please check. 	 Ik heb een verificatie e-mail gestuurd. Controleer alsjeblieft of je deze hebt ontvangen. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 The email has the subject line "Verify ownership of your PRS-ORG Account" and you may have received it in your inbox or spam inbox. 	 Het e-mailbericht heeft als onderwerp 'Verifieer eigendom van je PRS-ORG-account'. Deze e-mail staat mogelijk in je postvak in of map met ongewenste e-mail. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik krijg zojuist in PRS-ORG een melding of ik mijn punten wil overzetten naar PRS-ORG 	 I just got a message in PRS-ORG asking if I want to transfer my points to PRS-ORG 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Het is dus al opgelost 	 So, it has already been solved 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wist niet dat deze functie bestond 	 I did not know this feature existed 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Oh great! 	 Oh geweldig! 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 NAME-M you can transfer the points using that featrue 	 NAME-M, je kunt de punten overzetten met deze functie 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 so you shoukd be all good now 	 Dus het zou nu allemaal in orde moeten zijn 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Yes is gelukt 	 Yes, it worked 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt en een fijne avond 	 Thanks and have a nice evening 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Your welcome! 	 Graag gedaan! 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 It was a great experience assisting you, I hope you had the same. 	 Het was een fijne ervaring om je te helpen. Ik hoop dat jij dat ook vond. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thank you for contacting PRS-ORG Help. 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Have a nice day, stay safe, take care of your loved ones. 	 Ik wens je een fijne dag, blijf veilig en zorg goed voor je dierbaren. 	 633344ecc8e847059a0a6ffc 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet NAME-M. 	 My name is NAME-M. 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Hi NAME-M, NAME-N hier :) 	 Hi NAME-M, NAME-N here :) 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Hey NAME-M 	 Hallo NAME-M 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 ! How we are doing today? 	 ! Hoe gaat het vandaag met je? 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Nice to meet you. 	 Leuk je te ontmoeten. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 You have a sweet name! 	 Je hebt een mooie naam! 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I have one of my best friend of your name . 	 Een van mijn beste vrienden heeft dezelfde naam. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Het gaat goed, dankje! 	 It's going well, thank you! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heb eigenlijk een korte vraag: ik wil graag toegang tot de PRS-ORG web app, maar het systeem zegt dat ik geen PRS-ORG heb. 	 I actually have a quick question: I would like to access the PRS-ORG web app, but the system says I don't have a PRS-ORG. 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Dat klopt echter niet, aangezien ik PRS-ORG heel het jaar gespeeld heb. 	 However, that's not true, since I played PRS-ORG all year. 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heb ook de andere condities gecontroleerd, en in principe moet ik toegang hebben. 	 I also checked the other conditions, and basically I should have access. 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Weet jij mogelijk wat er aan de hand is? 	 Do you possibly know what is going on? 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 As it seems we have issues with accessing web app of PRS-ORG 	 Het lijkt erop dat we problemen hebben met het openen van de web app van PRS-ORG 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 . Am I correct? 	 . Klopt dat? 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Correct! 	 Correct! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 en zoals ik al zei, ik heb alle condities gechecked waar ik aan moet voldoen, en in principe doe ik dat... dus er gaat waarschijnlijk iets mis! 	 and like I said, I've checked all the conditions I have to meet, and basically I do... so something is probably going wrong! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Niet erg, maarja wilde gewoon even kijken of we er wat aan kunnen doen :) 	 Not a big deal, but yeah, just wanted to see if we could do something about it :) 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 It would be my pleasure to help you. 	 Het is mij een genoegen je te helpen. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thanks for confirming the issue. 	 Bedankt dat je het probleem hebt bevestigd. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Please be assured, I will be glad to offer my assistance in accessing PRS-ORG wen app saying : You have no clubs while login. 	 Wees gerust, ik help graag bij het openen van de PRS-ORG web app, het zegt: Je hebt geen clubs tijdens het inloggen. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 We will check the issue and would help you regaining access. 	 We zullen het probleem controleren en je helpen om weer toegang te krijgen. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Klopt, het systeem vraagt me om een PRS-ORG aan te maken, maar dat kan uiteraard nog niet omdat PRS-ORG nog niet uit is. 	 True, the system asks me to create a PRS-ORG, but obviously I can't do that yet because PRS-ORG is not out yet. 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Maar als je een PRS-ORG in PRS-ORG hebt zou je toegang moeten hebben, en dat heb ik dus niet 	 But if you have a PRS-ORG in PRS-ORG you should have access, but I don't have that 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Het ziet er naar uit dat het zojuist is opgelost trouwens! 	 By the way, it looks like it has just been resolved! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 :D 	 :D 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Awesome! 	 Geweldig! 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Are we able to access it now? 	 Hebben we nu weer toegang? 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heb toegang! 	 I have access! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 helemaal top 	 Absolutely great 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 dankjewel NAME-M! 	 thank you NAME-M! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 It was fun talking to a PRS-ORG 	 Het was leuk om te praten 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 lover like you. 	 met een PRS-ORG-liefhebber zoals jij. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Happy to meet! 	 Aangenaam kennis te maken. 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thanks for being cooperative, is there anything else I may help you with? 	 Bedankt voor je medewerking. Kan ik je nog ergens mee helpen? 	 632c2b200ae6d003e0effcf7 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Nee, alles is goed nu! 	 No, everything is good now! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Dankjewel 	 Thank you! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Fijne dag NAME-M! 	 Have a good day NAME-M! 	 632c2b200ae6d003e0effcf7 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet ALPHANUMERICID. 	 My name is ALPHANUMERICID. 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Hallo mijn naam is NAME-M 	 Hello, my name is NAME-M 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Hello, nice to meet you NAME-M 	 Hallo, leuk je te ontmoeten NAME-M 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 hope you are doing well. 	 Ik hoop dat het goed met je gaat. 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 ik heb problemen met het koppelen van de web app aan mijn account 	 I'm having trouble linking the web app to my account 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 jazeker, met jou ook? 	 yeah sure, how are you? 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I am doing well thank you for asking. 	 Met mij gaat het goed, bedankt voor het vragen. 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 May I know the issue in detail? 	 Kan je het probleem in detail uitleggen? 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Als ik inlog op de fut PRS_ORG app zegt die dat ik nog geen account heb. 	 When I log into the fut PRS_ORG app, it says I don't have an account yet. 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Terwijl dat wel zo is 	 While I do have one 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 of zegt die dat ik me aan moet melden op de ps4 om mijn account te koppelen 	 or it says I have to log into the PS4 to link my account 	 63403ce92f6b68ae9ad12e49 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 No worries, I will certainly look into the options to help you with getting access to the Web App. 	 Geen zorgen, ik zal nagaan hoe we de toegang tot de web app kunnen herstellen. 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 May I know the email linked to your PRS-ORG account? 	 Kun je me het e-mailadres dat aan je PRS-ORG-account is gekoppeld geven? 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Please provide me the email linked to your PRS-ORG account. 	 Gelieve het e-mailadres te geven dat aan je PRS-ORG-account is gekoppeld. 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Are we connected? 	 Zijn we verbonden? 	 63403ce92f6b68ae9ad12e49 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet NAME-N. 	 My name is NAME-N. 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 ik ben NAME-N 	 I'm NAME-N 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Nice to meet you NAME-N, I hope you're doing well. 	 Leuk je te ontmoeten NAME-N, ik hoop dat het goed met je gaat. 	 619f4a96add415c7b30a2d09 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 How can I help today? 	 Hoe kan ik vandaag helpen? 	 619f4a96add415c7b30a2d09 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 ik heb zojuist PRS-ORG gekocht voor op de pc, maar ik dacht dat ik het gelijk kon downloaden, maar dat is niet zo. 	 I just bought PRS-ORG for pc, and I thought I could download it right away, but I can't. 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 hoelang duurt het voordat ik het kan downloaden? 	 how long does it take before I can download it? 	 619f4a96add415c7b30a2d09 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I will certainly check your order history to assist you further. 	 Ik zal je bestelgeschiedenis bekijken zodat ik je verder kan helpen. 	 619f4a96add415c7b30a2d09 	 agent 	 informal 	 0015800001EMz0vAAD
